BisunERP v1.0 사전점검 보고서
생성시각: 2026-07-23 12:14:57
프로젝트: /mnt/data/BisunERP_v1_7_work/BisunERP

PASS 225 | WARN 2 | FAIL 0
==========================================================================================

[필수파일]
PASS | main.py
PASS | modules/customers/customer_dialog.py
PASS | modules/customers/customer_runner.py
PASS | modules/customers/customer_page.py
PASS | modules/customers/__init__.py
PASS | modules/detail_studio/product_knowledge.py
PASS | modules/detail_studio/section_editor.py
PASS | modules/detail_studio/detail_studio_page.py
PASS | modules/detail_studio/brand_voice.py
PASS | modules/detail_studio/section_writer.py
PASS | modules/detail_studio/detail_studio_service.py
PASS | modules/detail_studio/product_name_parser.py
PASS | modules/detail_studio/progress_widget.py
PASS | modules/detail_studio/md_panel.py
PASS | modules/detail_studio/reviewer.py
PASS | modules/detail_studio/product_classifier.py
PASS | modules/detail_studio/playbook_engine.py
PASS | modules/detail_studio/__init__.py
PASS | modules/backup_manager/backup_service.py
PASS | modules/backup_manager/backup_page.py
PASS | modules/backup_manager/__init__.py
PASS | modules/management/management_page.py
PASS | modules/management/management_service.py
PASS | modules/management/__init__.py
PASS | modules/settlements/settlement_service.py
PASS | modules/settlements/settlement_page.py
PASS | modules/settlements/__init__.py
PASS | modules/operations_check/operations_check_page.py
PASS | modules/operations_check/operations_check_service.py
PASS | modules/operations_check/__init__.py
PASS | modules/shipments/export_service.py
PASS | modules/shipments/shipment_repository.py
PASS | modules/shipments/simple_import_dialog.py
PASS | modules/shipments/shipment_service.py
PASS | modules/shipments/shipment_page.py
PASS | modules/shipments/__init__.py
PASS | modules/statistics/statistics_page.py
PASS | modules/statistics/statistics_service.py
PASS | modules/statistics/__init__.py
PASS | modules/automation/automation_page.py
PASS | modules/automation/automation_service.py
PASS | modules/automation/__init__.py
PASS | modules/purchase_ai/purchase_ai_models.py
PASS | modules/purchase_ai/purchase_ai_page.py
PASS | modules/purchase_ai/purchase_ai_service.py
PASS | modules/purchase_ai/purchase_ai_repository.py
PASS | modules/purchase_ai/purchase_export_service.py
PASS | modules/purchase_ai/__init__.py
PASS | modules/purchase_dashboard/purchase_dashboard_repository.py
PASS | modules/purchase_dashboard/purchase_dashboard_service.py
PASS | modules/purchase_dashboard/purchase_dashboard_page.py
PASS | modules/purchase_dashboard/__init__.py
PASS | modules/data_import/data_import_page.py
PASS | modules/data_import/data_import_service.py
PASS | modules/data_import/__init__.py
PASS | modules/notion_sync/notion_sync_service.py
PASS | modules/notion_sync/notion_live_service.py
PASS | modules/notion_sync/notion_api_client.py
PASS | modules/notion_sync/notion_sync_page.py
PASS | modules/notion_sync/__init__.py
PASS | modules/suppliers/supplier_page.py
PASS | modules/suppliers/supplier_runner.py
PASS | modules/suppliers/supplier_repository.py
PASS | modules/suppliers/supplier_dialog.py
PASS | modules/suppliers/__init__.py

[내부 import]
PASS | app.main_window
PASS | core.database
PASS | modules.purchases.purchase_service
PASS | modules.backup_manager.backup_page
PASS | modules.backup_manager.backup_service
PASS | modules.dashboard.dashboard_page
PASS | modules.dashboard.dashboard_service
PASS | modules.data_import.data_import_page
PASS | modules.integrity.integrity_page
PASS | modules.mappings.mapping_page
PASS | modules.notion_sync.notion_sync_page
PASS | modules.operations_check.operations_check_page
PASS | modules.orders.order_page
PASS | modules.purchase_dashboard.purchase_dashboard_page
PASS | modules.purchases.purchase_page
PASS | modules.search.global_search_page
PASS | modules.settings.settings_page
PASS | modules.settings.settings_service
PASS | modules.shipments.shipment_page
PASS | app.widgets.base_button
PASS | app.widgets.base_dialog
PASS | app.widgets.base_form
PASS | app.widgets.base_search
PASS | app.widgets.base_table
PASS | modules.orders.order_repository
PASS | modules.orders.order_import_service
PASS | modules.purchases.purchase_repository
PASS | modules.shipments.shipment_repository
PASS | modules.search.global_search_service
PASS | modules.receipts.receipt_service
PASS | modules.receipts.receipt_page
PASS | modules.products.product_page
PASS | modules.products.product_repository
PASS | modules.suppliers.supplier_repository
PASS | modules.products.product_dialog
PASS | modules.products.product_supplier_dialog
PASS | modules.settlements.settlement_service
PASS | modules.dashboard.chart_widgets
PASS | modules.mappings.quick_product_dialog
PASS | modules.customers.customer_repository
PASS | modules.customers.customer_page
PASS | app.widgets
PASS | modules.customers.customer_dialog
PASS | modules.management.management_service
PASS | modules.management.management_page
PASS | modules.settlements.settlement_page
PASS | modules.shipments.shipment_service
PASS | modules.shipments.export_service
PASS | modules.shipments.simple_import_dialog
PASS | modules.statistics.statistics_service
PASS | modules.automation.automation_service
PASS | modules.automation.automation_page
PASS | modules.purchase_dashboard.purchase_dashboard_repository
PASS | modules.purchase_dashboard.purchase_dashboard_service
PASS | modules.suppliers.supplier_dialog
PASS | modules.suppliers.supplier_page

[데이터베이스]
PASS | DB 파일 존재
       /mnt/data/BisunERP_v1_7_work/BisunERP/data/bisun_erp.db
PASS | SQLite 무결성
       ok

[DB 테이블]
PASS | order_items
PASS | orders
PASS | products
PASS | purchase_orders
PASS | settings
PASS | shipments
PASS | suppliers

[DB 컬럼]
PASS | orders
PASS | order_items
PASS | products
PASS | suppliers
PASS | purchase_orders
PASS | shipments

[중복데이터]
PASS | 중복 주문번호
       중복 그룹 0개
PASS | 중복 상품명·옵션
       중복 그룹 0개
PASS | 중복 공급처명
       중복 그룹 0개

[관계무결성]
PASS | 주문 없는 주문상품
       0건
PASS | 없는 상품에 연결된 주문상품
       0건
PASS | 주문상품 없는 발주
       0건
PASS | 주문 없는 송장
       0건

[업무상태]
PASS | 주문 상태값
       정상

[설정파일]
WARN | 환경설정 JSON
       파일이 없습니다. 최초 저장 전이라면 정상입니다.
WARN | 백업설정 JSON
       파일이 없습니다. 최초 저장 전이라면 정상입니다.

[백업]
PASS | 백업 폴더 쓰기 권한
       /mnt/data/BisunERP_v1_7_work/BisunERP/backup
